# Labels,Labels,Labels,Labels,Labels,Energy (Hz)
# N,MF,d_pi(d0),d_plus(d0),d_minus(d0)
2,-4,0.000000,0.000000,0.000000,2941598275.826963
2,-3,-0.000000,0.000000,0.000000,2941605874.351958
2,-2,0.000000,0.000000,-0.000000,2941626704.015553
2,-4,0.000000,-0.000000,0.000000,2941633834.493715
2,-5,0.000000,-0.000000,0.000000,2941681467.688823
2,-1,-0.000000,0.000000,-0.000000,2941718850.299399
2,-4,-0.000000,0.000000,0.000000,2941720729.735120
2,-3,-0.000000,-0.000000,-0.000000,2941747351.636511
2,-5,-0.000000,-0.000000,-0.000000,2941752844.177667
2,-6,0.000000,0.000000,-0.000000,2941805727.121392
2,-5,-0.000000,0.000000,0.000000,2941835345.117475
2,-2,-0.000000,-0.000000,-0.000000,2941839269.070212
2,-4,0.000000,-0.000000,0.000000,2941867262.198660
2,-6,0.000000,-0.000000,0.000000,2941873052.167061
2,-7,0.000000,-0.000000,-0.000000,2941927320.450328
2,-3,0.000000,-0.000000,-0.000000,2941958055.019301
3,6,-0.000000,0.000005,-0.000000,5881353197.892291
3,5,-0.000005,0.000000,-0.000000,5881354299.519866
3,4,-0.000000,-0.000000,0.000003,5881363468.631230
3,7,0.000000,-0.000000,-0.000000,5881365852.567766
3,3,0.000000,-0.000000,0.000000,5881380554.410629
3,2,0.000000,-0.000000,-0.000000,5881410347.487700
3,5,0.000002,0.000000,0.000000,5881416629.776600
3,4,-0.000000,0.000000,0.000002,5881418063.322569
3,3,0.000000,-0.000000,-0.000000,5881432488.666205
3,6,0.000000,0.000002,0.000000,5881433493.363541
3,2,0.000000,0.000000,0.000000,5881459410.121354
3,1,-0.000000,0.000000,0.000000,5881464095.124710
3,4,0.000000,0.000000,0.000000,5881484759.222818
3,8,0.000000,-0.000000,-0.000000,5881484955.230540
3,3,-0.000000,0.000000,-0.000000,5881485317.540520
3,2,-0.000000,0.000000,0.000000,5881502863.844170
3,5,-0.000000,-0.000000,0.000000,5881504933.822377
3,1,-0.000000,0.000000,0.000000,5881517882.612305
3,0,-0.000000,0.000000,-0.000000,5881533903.493591
3,7,0.000000,-0.000000,0.000000,5881540076.973244
3,2,0.000000,0.000000,0.000000,5881555737.556239
3,3,0.000000,0.000000,-0.000000,5881556474.599637
3,1,0.000000,0.000000,0.000000,5881561660.470973
3,1,0.000000,-0.000000,0.000000,5881578004.991512
3,4,0.000000,0.000000,0.000000,5881579025.382248
3,-0,-0.000000,-0.000000,-0.000000,5881590296.259537
3,6,-0.000000,0.000001,-0.000000,5881601045.833275
3,-1,-0.000000,-0.000000,0.000000,5881611769.573497
3,7,-0.000000,0.000000,0.000000,5881615804.776894
3,1,-0.000000,0.000000,0.000000,5881629137.318426
3,2,0.000000,0.000000,0.000000,5881631067.516867
3,0,0.000000,-0.000000,0.000000,5881637830.427084
3,6,-0.000000,0.000009,-0.000000,5881641037.355640
3,2,-0.000000,0.000000,-0.000000,5881643566.263374
3,0,0.000000,0.000000,0.000000,5881651599.968179
3,5,-0.000008,0.000000,-0.000000,5881651753.730921
3,3,0.000000,0.000000,-0.000000,5881654132.613877
3,3,-0.000000,0.000000,0.000000,5881655119.291519
3,4,-0.000000,0.000000,-0.000005,5881656208.985398
3,-1,-0.000000,0.000000,-0.000000,5881667742.433052
3,5,0.000002,-0.000000,0.000000,5881669177.711118
3,6,0.000000,0.000007,0.000000,5881688011.529979
3,-2,0.000000,0.000000,-0.000000,5881693890.285478
3,-0,0.000000,-0.000000,-0.000000,5881705320.995169
3,1,0.000000,-0.000000,0.000000,5881708056.192229
3,5,0.000003,0.000000,0.000000,5881712575.479170
3,1,0.000000,-0.000000,-0.000000,5881712598.688343
3,-1,0.000000,-0.000000,-0.000000,5881718079.518405
3,0,0.000000,-0.000000,-0.000000,5881722520.619812
